sample_index,alpha1,alpha2,alpha3,delta1,v1_max_excess,v2_max_excess,v1_verdict,v2_verdict,sim_verdict
164,0.166021102625778,0.08052865268892,0.0965249039672406,-1.49497546678079,2.037129e-01,0.000000e+00,stable,stable,not_audited
165,-0.795625240834498,1.94729627460249,0.10131820169614,1.4755133741622,2.037130e-01,0.000000e+00,stable,stable,not_audited
166,-0.772820664890929,0.717975759426098,0.122575340158925,0.978588218418875,2.037137e-01,0.000000e+00,stable,stable,not_audited
167,0.358494374655195,-0.686027746793052,0.208978074972394,-1.36248156885194,2.037144e-01,0.000000e+00,stable,stable,not_audited
168,0.883183123576714,-0.316476788791145,0.0530615047938947,1.82963488694231,2.037151e-01,0.000000e+00,stable,stable,not_audited
169,0.971472844283648,-1.38631009861657,0.0948233019516826,0.861315566679375,2.035923e-01,0.000000e+00,stable,stable,not_audited
170,-0.265555173424057,1.32830361239682,0.10749167848154,-1.63869778220568,2.037164e-01,0.000000e+00,stable,stable,not_audited
171,-0.146666715193426,0.384562447401082,0.38798382026017,-1.39553151235178,2.037170e-01,0.000000e+00,stable,stable,not_audited
172,-0.00261621327250383,-1.23738570100525,0.106357410371466,-0.402747197185419,2.035920e-01,0.000000e+00,stable,stable,not_audited
173,-0.694667674622849,0.642436720713559,1.74565407915877,1.03799384004877,2.037198e-01,0.000000e+00,stable,stable,not_audited
174,0.525279686622679,-1.71942083358335,0.807606721511961,1.07855726297822,2.037201e-01,0.000000e+00,stable,stable,not_audited
175,0.505957094015659,-1.733027165839,0.47555739715903,-1.05224391824132,2.037201e-01,0.000000e+00,stable,stable,not_audited
176,-0.197408816435537,1.76453813507518,0.0569099108859243,-1.83328411544396,2.037203e-01,0.000000e+00,stable,stable,not_audited
177,0.793437847142205,-1.99003255700356,0.189624172773603,1.20577448629347,2.037207e-01,0.000000e+00,stable,stable,not_audited
178,0.188845304330739,1.56348002836843,0.0814145359441875,-1.08220901432809,2.035916e-01,0.000000e+00,stable,stable,not_audited
179,0.312176992773147,0.843612539282789,0.309249933029207,1.87770619013751,2.037234e-01,0.000000e+00,stable,stable,not_audited
180,-0.0703585292121763,-0.377654957631919,1.77624548816178,0.623384825413906,2.035913e-01,0.000000e+00,stable,stable,not_audited
181,0.922523272882434,-1.8856816637716,0.405826099789695,-1.38197210220044,2.037271e-01,0.000000e+00,stable,stable,not_audited
182,0.906229482977417,-0.289766497272141,0.701671630241409,1.91304095117769,2.037272e-01,0.000000e+00,stable,stable,not_audited
183,0.352806192371811,-0.686416546620559,0.382607296553163,-1.41401516221414,2.037292e-01,0.000000e+00,stable,stable,not_audited
184,0.699829156736597,-1.67053504660515,0.234410678860447,1.29608995102701,2.037302e-01,0.000000e+00,stable,stable,not_audited
185,0.601079374594493,0.0396691697518672,0.121342352808275,-1.84880244133445,2.037313e-01,0.000000e+00,stable,stable,not_audited
186,0.221348244709905,-0.0450969130758105,0.127920305462699,-1.57526138424781,2.037335e-01,0.000000e+00,stable,stable,not_audited
187,-0.686871077146627,0.58962308311044,0.117705880006106,0.547750937946551,2.035905e-01,0.000000e+00,stable,stable,not_audited
188,-0.347209629798345,-0.929288697133574,0.449338159464534,0.385058363164932,2.037366e-01,0.000000e+00,stable,stable,not_audited
189,0.21754846698214,-0.617468939388574,1.98715036318822,-1.35884451749818,2.037373e-01,0.000000e+00,stable,stable,not_audited
190,0.0577287756531661,-0.0507162957317515,0.168111209026299,-1.46219511784813,2.037373e-01,0.000000e+00,stable,stable,not_audited
191,0.436000339714821,0.832144135950245,1.26662776932272,-1.03408918059319,2.035903e-01,0.000000e+00,stable,stable,not_audited
192,-0.125829234577477,1.02059683052391,1.0351252389346,1.7283937506906,2.037386e-01,0.000000e+00,stable,stable,not_audited
193,-0.0303065998368268,-0.108874862666415,0.587003779025932,1.37108793786841,2.037392e-01,0.000000e+00,stable,stable,not_audited
194,0.866205995822642,-1.94151808662837,0.372835641697574,-1.35413167424265,2.037393e-01,0.000000e+00,stable,stable,not_audited
195,0.265869966521366,-0.326151187402596,0.08325061924621,1.53387146274515,2.037415e-01,0.000000e+00,stable,stable,not_audited
196,0.185622001018841,-0.119702788653775,0.761763089425323,0.78539907046664,2.035901e-01,0.000000e+00,stable,stable,not_audited
197,-0.0251074308222792,0.176618552306931,0.0953715964465042,-0.7588784873973,2.035898e-01,0.000000e+00,stable,stable,not_audited
198,0.998754319233673,-0.661608120007463,1.45564267188133,1.94287931750007,2.037449e-01,0.000000e+00,stable,stable,not_audited
199,-0.23931943780843,1.82727897414877,0.719672119571876,-1.95234547925618,2.037461e-01,0.000000e+00,stable,stable,not_audited
200,0.309496758183101,-0.0728974790295092,1.73261577518946,1.69033916931544,2.037485e-01,0.000000e+00,stable,stable,not_audited
201,-0.705099196607914,1.50029666420315,0.121653891090491,-0.749629518817418,2.035896e-01,0.000000e+00,stable,stable,not_audited
202,-0.535524216722492,1.02786243398129,0.0961361546907799,-0.721847239582343,2.035896e-01,0.000000e+00,stable,stable,not_audited
203,0.402973511281551,-1.50659947362884,0.363437209464622,-1.15114043413024,2.037516e-01,0.000000e+00,stable,stable,not_audited
204,-0.765584121396862,1.42831452909186,0.362615965184553,-1.44517368559494,2.037525e-01,0.000000e+00,stable,stable,not_audited
205,0.548941371804108,-0.82051473471511,0.145720427561133,1.60450331418904,2.037528e-01,0.000000e+00,stable,stable,not_audited
206,0.41877269679479,-0.869613325184741,0.124269105785932,-1.47702389003105,2.037528e-01,0.000000e+00,stable,stable,not_audited
207,-0.315068695592155,1.90174766427303,0.136901641340559,1.96068683856091,2.037532e-01,0.000000e+00,stable,stable,not_audited
