sample,beta1,beta2,beta3,xi,delta1,chi,zeta1,zeta2,zeta3,beta_constraint_pass,max_excess,probe_pass
144,-1.35853,-1.26761,-0.671332,0.0156532,0.0157084,0.00521571,0.0293911,-0.00890341,-0.0308485,0,inf,0
145,-0.205651,-1.94888,-0.202627,0.497544,-0.0112125,-0.00465625,0.0161413,0.00978808,-0.0329979,1,1.06399,0
146,-1.42319,-1.7243,-0.709399,0.438262,0.0186695,0.00552082,-0.0409853,0.0094947,-0.0358327,1,3.17052,0
147,-1.41048,-2.28466,0.749729,0.434546,-0.0141395,0.00769136,-0.0311909,-0.000219368,0.0460894,1,3.5233,0
148,-0.11694,-1.81129,-0.573301,9.34128,0.0200705,0.00283522,0.0144484,0.0181133,0.0187896,1,0.100943,1
149,-1.31019,-1.04915,0.582343,0.0295523,0.00453976,-0.00220257,0.00824346,-0.00829254,-0.00545486,0,inf,0
150,0.822229,-0.467427,0.220026,0.0550465,0.0198635,0.00646876,0.0360186,0.0103706,0.029288,0,inf,0
151,0.25624,-1.35923,-0.211703,0.0135767,0.0018716,0.00501042,-0.0253058,-0.0204219,-0.0200243,1,1.75111,0
152,-0.123426,-2.3188,0.728914,8.8833,-0.00447537,0.00538381,0.0220046,-0.0137028,0.0212277,1,0.100761,1
153,0.199404,-0.747083,-0.0194081,0.903099,0.0142733,0.00198015,-0.0209845,0.0039606,-0.00387046,1,0.101035,1
154,-0.443629,-1.49604,-0.891373,0.0215947,0.016841,0.00130887,0.0396208,0.0187114,-0.0404322,1,7.33488,0
155,-0.0111874,-2.63771,-0.633447,0.186103,-0.0194422,7.32672e-05,-0.0164325,0.0165684,0.0152326,1,2.76123,0
156,0.715155,-1.39031,-0.109207,0.266207,0.0127906,0.00468417,-0.00720123,0.01438,0.0379723,1,0.10101,1
157,0.954586,-1.66053,0.334842,0.0291615,-0.017298,-0.00199248,-0.0258316,-0.00016093,-0.0384243,1,0.744323,0
158,-0.724267,-0.353933,0.728647,0.124456,-0.0189357,0.00486987,-0.0383356,0.0193811,0.0126768,0,inf,0
159,-0.603651,-0.838912,0.573284,0.0376879,0.00562473,-0.00139765,-0.0466027,0.00151286,0.0216126,0,inf,0
160,0.620043,-2.52659,0.998276,4.73661,-0.0155974,-0.000390211,-0.0209179,-0.0152604,-0.0165996,1,0.101038,1
161,0.590831,-2.5115,0.304804,0.128534,-0.00238411,0.00300418,0.0378169,0.0155205,0.0164231,1,0.131785,1
162,-1.20048,-2.32235,-0.972638,0.254931,0.0207654,0.00152275,-0.0283391,-0.00756425,-0.0326533,1,4.4453,0
163,-0.368208,-0.438996,-0.249737,0.0806155,0.0170818,-0.0074123,-0.0250276,-0.00460158,0.0291653,0,inf,0
164,0.463145,-2.33261,0.808003,0.418322,-0.015751,-0.00553925,0.0139692,-0.0195804,0.0316186,1,0.101,1
165,0.831329,-2.43734,0.614777,0.0336867,-0.0133599,-0.0051743,0.00151017,0.00853135,0.0475149,1,2.35358,0
166,0.167388,-2.91764,0.632719,4.65077,-0.0135865,1.516e-05,0.0269413,-0.0111604,-0.0201432,1,0.100801,1
167,0.885011,-2.92937,0.914248,0.0188951,-0.00725511,-0.00782224,-0.00552308,0.00127073,-0.0333928,1,3.17607,0
168,0.740186,-2.16848,0.937724,0.041187,0.00864431,-0.00165038,0.00138733,-0.0113493,0.0492696,1,0.19587,1
169,-0.163657,-0.310387,-0.214619,5.20512,0.0133479,-0.00184408,0.0396438,5.24542e-05,-0.0480754,0,inf,0
170,0.652119,-0.775848,0.284305,0.240392,0.00213418,0.00110497,0.00921403,-0.0173268,-0.0133678,0,inf,0
171,0.828463,-0.411742,-0.569934,3.77135,-0.00466456,0.00352953,-0.0492099,0.016647,-0.0139894,0,inf,0
172,0.906258,-1.70689,-0.925735,0.0792109,0.0102965,-0.00451631,-0.0251354,-0.0108415,0.0195712,1,0.311384,0
173,0.515964,-1.23948,0.878508,6.18145,-0.00487134,0.000527511,0.0177671,-0.0195471,-0.0178059,1,0.101003,1
174,-0.78586,-2.66378,-0.42943,0.0130096,-0.00784504,-0.00898412,0.0184115,-0.00755937,-0.0415424,1,inf,0
175,0.308606,-1.70451,-0.510402,0.130322,0.00997407,-0.00195839,-0.0198762,-0.012089,-0.0332655,1,0.352701,0
176,-0.169492,-1.48617,0.0247866,1.01378,0.0146547,-0.00679037,-0.00599093,-0.0148347,-0.0428932,1,12.6476,0
177,0.0730431,-1.8215,0.272263,1.66065,-0.00205776,-0.00163293,0.0363384,-0.00652349,0.0314581,1,0.100988,1
178,-1.18486,-1.43358,-0.112366,0.0682316,6.59198e-05,0.00360691,-0.0387632,-0.00184192,0.0481471,0,inf,0
179,0.0480183,-1.35709,-0.412401,0.0375676,-0.0093623,-0.00660791,0.015364,0.00214671,0.0106547,1,0.621325,0
180,0.527333,-2.18527,0.0900739,0.515788,-0.00256247,-0.000681054,-0.0400881,-0.00711098,0.0121041,1,0.100773,1
181,0.887557,-1.56172,0.101661,1.81855,0.0082122,0.00602133,0.01903,0.0120308,-0.0259289,1,0.100898,1
182,-0.632131,-1.33092,0.0338485,1.71,0.00999529,-0.00529106,0.00887205,0.00981291,0.0323948,1,0.502685,0
183,0.355453,-2.28517,-0.567107,0.0203025,-0.0246872,-0.000690326,-0.0355723,-0.00779305,-0.0372938,1,0.100846,1
184,0.86994,-0.336461,-0.697948,0.991605,0.0136297,-0.00365898,0.0135455,-0.00885883,0.0068823,0,inf,0
185,-0.186293,-1.56896,-0.0324145,1.68444,0.00713482,-0.00429672,0.0102592,-0.0203174,-0.00320034,1,inf,0
