delta1,kappa,B0,alpha1,alpha2,alpha3,grid_shape,t_end,dt,scheme,bc,P_max,P_max_time,P_final,P_asymptotic,P_transmitted,P_reflected,wall_time_s,run_status,error_message,solver_exit_code,stability_profile,borderline_stability
0.25,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.012965175777905933,20.0,0.012965175777905933,0.012965175777905933,0.012965175777905933,2.7560971835128096e-34,1.81,success,,0,v1-unit-0.3,False
0.275,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.012434613784016859,20.0,0.012434613784016859,0.012434613784016859,0.012434613784016859,2.877470827859186e-34,1.8,success,,0,v1-unit-0.3,False
0.30000000000000004,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.01185942029161013,20.0,0.01185942029161013,0.01185942029161013,0.01185942029161013,2.2242139975300233e-34,1.77,success,,0,v1-unit-0.3,False
0.32500000000000007,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.011241727457115207,20.0,0.011241727457115207,0.011241727457115207,0.011241727457115207,1.8448378500402921e-34,1.62,success,,0,v1-unit-0.3,False
0.3500000000000001,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.010584097944960525,20.0,0.010584097944960525,0.010584097944960525,0.010584097944960525,1.748083868373019e-34,1.5,success,,0,v1-unit-0.3,False
0.375,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.00988959674383298,20.0,0.00988959674383298,0.00988959674383298,0.00988959674383298,1.5224128534089388e-34,1.39,success,,0,v1-unit-0.3,False
0.4,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.009161873200076037,20.0,0.009161873200076037,0.009161873200076037,0.009161873200076037,2.342714351466183e-34,1.33,success,,0,v1-unit-0.3,False
0.42500000000000004,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.008405254441767106,20.0,0.008405254441767106,0.008405254441767106,0.008405254441767106,2.026540304874633e-34,1.32,success,,0,v1-unit-0.3,False
0.45000000000000007,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.007624851509032005,20.0,0.007624851509032005,0.007624851509032005,0.007624851509032005,1.490985423615497e-34,1.31,success,,0,v1-unit-0.3,False
0.4750000000000001,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.006826679661332398,20.0,0.006826679661332398,0.006826679661332398,0.006826679661332398,2.1564388001314072e-34,1.23,success,,0,v1-unit-0.3,False
0.5,1.0,0.01,0.0,-0.6,0.5,256,20.0,auto,auto,periodic,0.006017794502192679,20.0,0.006017794502192679,0.006017794502192679,0.006017794502192679,1.6342282837691542e-34,1.13,success,,0,v1-unit-0.3,False
